Obs,Study,Authors,Year_.online.,Year_.print.,Title,Journal,Pub_year_IF,X2017_IF,Average_n,Effect_type,Species,Climate_.FishBase.,Env_cue.stimulus.,Cue.stimulus_type,Behavioural_metric,Life_stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd,InRR,InRR_V
236,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change shelter use, skin, Fig3",Larvae,29,11.474,45.3162,29,0.765,8.2393,-2.707963051,4.537870334
218,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change in shelter use, conspecific skin, Fig1",Larvae,29,11.211,43.4691,29,0.897,9.661,-2.525594856,4.518423332
138,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in line crosses, experienced tutor, predator, Fig 2",Juvenile,17,-29.75,17.5232,17,-1.5,12.8847,-2.987364024,4.360682521
671,a79,Porteus et al,2018,2018,Near-future CO2 levels impair the olfactory system of a marine fish,Nat Clim Change,19.181,19.181,13,Strong,Dicentrarchus_labrax,Subtrop,Yes,Predator,"Time spent freezing, w/ pred, 7 days",Juvenile,13,5.8,29.5098,13,12.1308,66.0668,0.737889755,4.272909155
667,a79,Porteus et al,2018,2018,Near-future CO2 levels impair the olfactory system of a marine fish,Nat Clim Change,19.181,19.181,13,Strong,Dicentrarchus_labrax,Subtrop,No,NA,"Time spent freezing, before pred, 7 days",Juvenile,13,20.7692,94.4943,13,13.4615,79.2349,-0.433637361,4.257346679
152,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in line crosses, water, Fig 4",Juvenile,15,-1.94,13.296,15,-5.075,20.8095,0.961638552,4.252345179
347,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, misc brown algae",Adult,5,-2.13,4.7628,5,-0.947,3.7052,-0.810578166,4.061624127
148,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in area use, predator, Fig 3",Juvenile,23,-1.581,1.2613,23,-0.156,1.4915,-2.31595683,4.002053157
140,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in area use, na?ve tutor, predator, Fig 2",Juvenile,17,-0.057,0.4247,17,-0.436,0.9937,2.034590976,3.571176317
120,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in feeding strikes, pseudo-conditioning, predator, Fig 1",Juvenile,16,-8.625,13.64,16,-2.006,14.44,-1.458522273,3.394875829
672,a79,Porteus et al,2018,2018,Near-future CO2 levels impair the olfactory system of a marine fish,Nat Clim Change,19.181,19.181,13,Strong,Dicentrarchus_labrax,Subtrop,Yes,Predator,"Time spent freezing, w/ pred, 14 days",Juvenile,13,6.8846,39.0876,14,20.5929,70.238,1.095659323,3.310537012
670,a79,Porteus et al,2018,2018,Near-future CO2 levels impair the olfactory system of a marine fish,Nat Clim Change,19.181,19.181,13,Strong,Dicentrarchus_labrax,Subtrop,Yes,Predator,"Time spent freezing, w/ pred, 2 days",Juvenile,13,23.9231,86.238,13,18.0385,97.6179,-0.282336157,3.252342492
139,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in area use, na?ve tutor, water, Fig 2",Juvenile,17,-0.126,0.7092,17,-0.252,1.1339,0.693147181,3.054543827
58,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus_wardi,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2b)",Larvae,10,1.972,3.662,10,1.69,8.451,-0.154319727,2.845435898
225,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Kin,"Mean change activity, goby, Fig2",Larvae,29,4.315,16.4032,29,1.523,12.2997,-1.041415251,2.747316864
281,a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,14,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Prop change feeding strikes, Day 1, predator",Juvenile,14,0.463,0.2507,14,0.082,0.4939,-1.731007807,2.612269571
345,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate,Feldmannia mitchelliae",Adult,5,-18.935,29.6368,5,-3.787,11.6432,-1.609437912,2.38049384
214,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Mean change bite rate, saltwater control, Fig1",Larvae,29,1.846,8.1316,29,1.342,9.0363,-0.318860098,2.232528692
390,a38,Heinrich et al,2015,2016,Foraging behaviour of the epaulette shark Hemiscyllium ocellatum is not affected by elevated CO2,ICES J Mar Sci,2.626,2.906,11,No,Hemiscyllium_ocellatum,Trop,Yes,Habitat,"Time to shelter, Mid CO2",Adult,10,55.2,258.7406,12,54.75,35.4891,-0.008185585,2.23211988
681,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 12 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,4,1.00E-04,2.00E-04,2,2.518,3.561,10.13380531,2.000005757
690,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 12 weeks, ctrl/ctrl vs OA/OA",Juvenile,4,1.00E-04,2.00E-04,3,15.827,27.4132,11.97205771,2.000002325
219,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change in shelter use, heterospecific skin, Fig1",Larvae,29,0.747,4.0227,29,1.644,8.8532,0.78882239,1.999988524
124,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in line crosses, pseudo-conditioning, predator, Fig 1",Juvenile,16,-6.334,9.852,16,-1.584,8.444,-1.385978655,1.927301956
131,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in feeding strikes, na?ve tutor, water, Fig 2",Juvenile,17,-2.281,10.1263,17,-4.211,15.1895,0.613086206,1.924679844
166,a12,Ferrari et al,2012,2012,Effects of ocean acidification on visual risk assessment in coral reef fishes,Funct Ecol,4.861,5.491,25,Strong,Pomacentrus_amboinensis,Trop,Yes,Food,"Prop decrease area use, 850 uatm",Juvenile,25,0.31,0.2674,25,0.061,0.4128,-1.625698433,1.861568748
426,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,No,NA,"% time OB, pre attack, day 20",Adult,14,3.5,14.8903,13,6.6,17.108,0.634306681,1.809687278
145,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in line crosses , water, Fig 3",Juvenile,23,1.523,6.695,23,2.411,10.9537,0.459359525,1.737609897
350,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Derbesia fastigiata",Adult,5,-2.13,4.7628,5,-9.467,16.936,1.491690087,1.640058792
521,a59,Allan et al,2017,2017,Warming has a greater effect than elevated CO2 on predator?prey interactions in coral reef fish,Proc R Soc B,4.847,4.847,18,Weak,Pseudochromis_fuscus,Trop,Yes,Prey,Predation rate,Larvae,17,0.007,0.033,18,0.106,0.2546,2.717528945,1.627826272
500,a54,Pimentel et al,2016,2016,"Foraging behaviour, swimming performance and malformations of early stages of commercially important fishes under ocean acidification and warming",Clim Change,3.496,3.537,12,Strong,Sparus_aurata,Subtrop,Yes,Food,Spin %,Larvae,12,1.00E-04,3.00E-04,12,1.00E-04,3.00E-04,0,1.5
501,a54,Pimentel et al,2016,2016,"Foraging behaviour, swimming performance and malformations of early stages of commercially important fishes under ocean acidification and warming",Clim Change,3.496,3.537,12,Strong,Argyrosomus_regius,Subtrop,Yes,Food,Spin %,Larvae,12,1.00E-04,3.00E-04,12,1.00E-04,3.00E-04,0,1.5
431,a43,Pistevos et al,2015,2015,Ocean acidification and global warming impair shark hunting behaviour and growth,Sci Rep,5.228,4.122,6,Strong,Heterodontus_portusjacksoni,Subtrop,Yes,Prey,Search time to locate food,Adult,7,169.091,487.8698,7,834.545,561.0518,1.596449635,1.253804851
351,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, misc green algae",Adult,5,1.183,2.6453,5,2.367,2.6453,0.693569746,1.24981865
636,a74,Goldenberg et al,2018,2018,Ecological complexity buffers the impacts of future climate on marine consumers,Nat Clim Change,19.181,19.181,105,Weak,Not_provided,Not provided,No,NA,"Risk taking (density-stndardized), no predator",Not provided,9,0.8731,2.5645,8,0.8064,1.1658,-0.079470199,1.219844941
341,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Polysiphonia",Adult,5,10.177,21.6988,5,8.757,10.0556,-0.150276892,1.172920404
680,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 8 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,5,24.46,32.1725,4,11.511,20.864,-0.75373603,1.167322119
363,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean bumps, Mid CO2, non-preferred side",Adult,8,28.571,21.646,8,5.867,17.3156,-1.583048787,1.160560836
364,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean bites, Mid CO2, preferred side",Adult,8,8.093,8.9463,8,0.372,1.0522,-3.079860915,1.152796544
365,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean bites, High CO2, preferred side",Adult,8,8.093,8.9463,8,0.093,0.263,-4.466155276,1.152416406
694,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time floating, 4 weeks, ctrl/ctrl vs OA/OA",Juvenile,5,24.468,42.0247,5,25.177,42.0247,0.028564738,1.147212682
361,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean bumps, High CO2, preferred side",Adult,8,34.884,37.273,8,1.938,5.4815,-2.890371758,1.142710293
239,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Number of bobbing events, skin extract",Larvae,15,0.459,0.488,15,1.00E-04,4.00E-04,-8.431635303,1.142023565
188,a17,Allan et al,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,Escape distance,Larvae,17,0.091,0.3923,18,0.051,0.0349,-0.579033874,1.119229158
337,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Centroceras",Adult,5,-4.497,3.1752,5,-2.13,4.7628,-0.747288528,1.09969676
18,a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, pred 1 vs. non-pred 1",Larvae,45,1.00E-04,7.00E-04,45,49.206,3.5486,13.10635594,1.089004464
19,a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, non-pred 2 vs. pred 2",Larvae,45,1.00E-04,7.00E-04,45,49.206,7.00E-04,13.10635594,1.088888889
14,a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs.  pred 1",Larvae,45,1.00E-04,7.00E-04,45,99.9999,7.00E-04,13.81550956,1.088888889
15,a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs. pred 2",Larvae,45,1.00E-04,7.00E-04,45,99.9999,7.00E-04,13.81550956,1.088888889
230,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change bite rate, skin, Fig3",Larvae,29,18.27,16.4032,29,2.132,11.4812,-2.148199864,1.027800972
2,a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion_percula,Trop,Yes,Habitat,% time in Melaleuca cue,Larvae,20,0.783,3.5017,46,83.562,10.6211,4.670211454,1.000361229
143,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in feeding strikes, water, Fig 3",Juvenile,23,-2.609,8.8243,23,-2.899,9.7307,0.105398844,0.987226555
679,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 4 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,5,2.518,4.8254,4,0.719,0.72,-1.253358857,0.985184704
349,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Ulva",Adult,5,-11.124,14.2885,5,-6.154,10.5855,-0.592002659,0.921724526
306,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Cheilodipterus_quinquelineatus,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,10,80.142,17.9428,10,1.00E-04,3.00E-04,-13.59414043,0.905012566
305,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Apogon_cyanosoma,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,10,84.397,11.2134,10,1.00E-04,3.00E-04,-13.64587223,0.901765308
293,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Apogon_cyanosoma,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,10,1.00E-04,3.00E-04,10,94.619,7.0898,13.76019867,0.90056145
291,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Dascyllus_aruanus,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,10,1.00E-04,3.00E-04,10,97.758,5.6731,13.79283541,0.900336772
294,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Cheilodipterus_quinquelineatus,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,10,1.00E-04,3.00E-04,10,98.655,1.4167,13.80196929,0.900020621
688,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 4 weeks, ctrl/ctrl vs OA/OA",Juvenile,5,2.518,4.8254,5,7.194,6.4354,1.04978241,0.894533114
125,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in line crosses, true conditioning, water, Fig 1",Juvenile,16,-4.927,11.26,16,-2.815,8.444,-0.559768022,0.888798002
48,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2a)",Larvae,10,1.00E-04,1.00E-04,10,7.324,20.563,11.201497,0.888272326
651,a77,McCormick et al,2018,2018,Effect of elevated CO2 and small boat noise on the kinematics of predator?prey interactions,Proc R Soc B,4.847,4.847,19,Strong,Pseudochromis_fuscus,Trop,Yes,Prey,Apparent looming threshold,Adult,19,0.63,0.6364,19,0.182,0.7018,-1.241713132,0.836289245
367,a35,Dixson et al,2014,2015,Odor tracking in sharks is reduced under future ocean acidification conditions,Glob Change Biol,8.044,8.997,8,Strong,Mustelus_canis,Subtrop,Yes,Food,"Mean bites, High CO2, non-preferred side",Adult,8,4.738,3.4818,8,0.431,1.0437,-2.397262295,0.80050853
292,a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,11,Strong,Pomacentrus_moluccensis,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,20,1.00E-04,4.00E-04,20,90.583,4.0115,13.71660693,0.80009806
685,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time floating, 4 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,5,24.468,42.0247,4,3.915,3.558,-1.832550812,0.796471732
664,a79,Porteus et al,2018,2018,Near-future CO2 levels impair the olfactory system of a marine fish,Nat Clim Change,19.181,19.181,13,Strong,Dicentrarchus_labrax,Subtrop,No,NA,"Baseline activity, 2 days",Juvenile,13,45.1077,95.6378,13,42.0462,97.4158,-0.07028395,0.758707821
335,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Gelidiella",Adult,5,9.467,17.4659,5,16.094,9.5256,0.530634465,0.750811933
689,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time hiding, 8 weeks, ctrl/ctrl vs OA/OA",Juvenile,5,24.46,32.1725,5,28.058,39.4129,0.137234666,0.740641415
687,a81,Rodriguez-Dominguez et al,2018,2018,Irreversible behavioural impairment of fish starts early: Embryonic exposure to ocean acidification,Mar Poll Bull,3.241,3.241,4,Weak,Vincentia_badia,Temp,Yes,Shelter,"% time floating, 12 weeks, ctrl/ctrl vs ctrl/OA",Juvenile,4,46.099,43.262,2,1.00E-04,1.00E-04,-13.04113163,0.720176105
419,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,Yes,Mimicked predator,"% time OB post attack, day 10",Adult,15,4.4,12.5477,15,10,16.2033,0.820980552,0.717196491
